,indie_game,action_game,platform_game,adventure_game,sci-fi,role-playing_video_game,puzzle_video_game,dates,lang
157,4859.0,13459.0,13790.0,28069.0,8060.0,10207.0,9392.0,2019-06-07,it
158,4865.0,14868.0,14277.0,29806.0,8439.0,9652.0,7176.0,2019-06-08,it
159,6016.0,16456.0,17010.0,33815.0,12605.0,11270.0,7365.0,2019-06-09,it
160,6121.0,16070.0,15432.0,34590.0,16426.0,12325.0,6779.0,2019-06-10,it
161,5591.0,14776.0,15518.0,35144.0,14068.0,15808.0,6033.0,2019-06-11,it
162,5739.0,15400.0,15955.0,34577.0,12104.0,13557.0,6518.0,2019-06-12,it
163,5396.0,17113.0,17935.0,32791.0,11313.0,11709.0,5769.0,2019-06-13,it
164,5220.0,13144.0,14857.0,30111.0,10643.0,10334.0,5628.0,2019-06-14,it
165,5245.0,13504.0,14935.0,31311.0,10694.0,11119.0,5523.0,2019-06-15,it
166,5379.0,15578.0,17041.0,37192.0,11125.0,11897.0,5827.0,2019-06-16,it
167,5393.0,14953.0,15995.0,32297.0,10627.0,11065.0,7223.0,2019-06-17,it
168,5369.0,13760.0,15018.0,30344.0,9490.0,9867.0,5630.0,2019-06-18,it
169,5301.0,12300.0,14341.0,29221.0,8728.0,9698.0,5512.0,2019-06-19,it
170,5382.0,12605.0,14699.0,29894.0,8873.0,9200.0,5720.0,2019-06-20,it
171,5241.0,13091.0,15410.0,29647.0,8460.0,8889.0,5613.0,2019-06-21,it
172,5052.0,14421.0,16162.0,39623.0,8492.0,9291.0,5295.0,2019-06-22,it
173,5501.0,13836.0,16557.0,33121.0,9463.0,10329.0,5620.0,2019-06-23,it
174,6692.0,14606.0,15342.0,30742.0,8724.0,9367.0,5462.0,2019-06-24,it
175,6295.0,14460.0,15962.0,29958.0,8579.0,9451.0,5576.0,2019-06-25,it
176,5747.0,12715.0,14711.0,30203.0,8432.0,8705.0,5091.0,2019-06-26,it
177,5034.0,13129.0,14349.0,29080.0,8661.0,8213.0,5642.0,2019-06-27,it
178,4631.0,12652.0,14313.0,27818.0,7688.0,7917.0,5227.0,2019-06-28,it
179,4436.0,12049.0,15688.0,27073.0,7173.0,7827.0,4730.0,2019-06-29,it
180,5242.0,14530.0,15261.0,31048.0,7866.0,9143.0,5533.0,2019-06-30,it
181,6013.0,21438.0,15433.0,30485.0,8222.0,9123.0,5254.0,2019-07-01,it
182,6040.0,15362.0,14984.0,32490.0,7947.0,8402.0,5375.0,2019-07-02,it
183,5237.0,40162.0,15512.0,33670.0,7768.0,8381.0,5983.0,2019-07-03,it
184,5172.0,16563.0,15599.0,32409.0,7508.0,7867.0,5753.0,2019-07-04,it
185,4971.0,13175.0,14106.0,29236.0,7171.0,7484.0,5241.0,2019-07-05,it
186,4818.0,13048.0,14438.0,31779.0,7177.0,7612.0,4914.0,2019-07-06,it
187,5564.0,17830.0,17064.0,37373.0,8406.0,9055.0,5518.0,2019-07-07,it
188,5975.0,14746.0,18007.0,34001.0,8238.0,9533.0,6412.0,2019-07-08,it
189,5694.0,14484.0,21258.0,33577.0,8318.0,9378.0,6215.0,2019-07-09,it
190,5258.0,18625.0,19438.0,33794.0,8319.0,8908.0,5613.0,2019-07-10,it
191,5277.0,16775.0,19972.0,36057.0,7955.0,9546.0,5747.0,2019-07-11,it
192,5002.0,14554.0,18691.0,31899.0,7705.0,8530.0,5008.0,2019-07-12,it
193,4840.0,15382.0,18867.0,34334.0,7548.0,8329.0,4948.0,2019-07-13,it
194,5253.0,16361.0,18457.0,35446.0,8018.0,9280.0,5199.0,2019-07-14,it
195,5877.0,15959.0,20152.0,36391.0,8650.0,10058.0,5661.0,2019-07-15,it
196,5154.0,14591.0,17804.0,34572.0,7912.0,8944.0,5375.0,2019-07-16,it
197,5024.0,14342.0,16541.0,32446.0,7613.0,8355.0,5158.0,2019-07-17,it
198,5228.0,18022.0,16792.0,42474.0,8192.0,8392.0,5033.0,2019-07-18,it
199,5517.0,15575.0,17281.0,35524.0,7844.0,8161.0,5161.0,2019-07-19,it
200,5069.0,15322.0,17106.0,31290.0,7616.0,7682.0,4680.0,2019-07-20,it
201,5680.0,19439.0,17973.0,41019.0,8380.0,8732.0,5304.0,2019-07-21,it
202,5809.0,15791.0,17647.0,35668.0,8449.0,8810.0,6177.0,2019-07-22,it
203,5164.0,16687.0,16494.0,34038.0,8252.0,8611.0,5749.0,2019-07-23,it
204,5462.0,14442.0,15673.0,34290.0,7872.0,8483.0,5271.0,2019-07-24,it
205,5402.0,14674.0,17169.0,34989.0,7726.0,8670.0,5217.0,2019-07-25,it
206,5671.0,14160.0,16767.0,31806.0,7420.0,8501.0,5402.0,2019-07-26,it
207,5651.0,15867.0,16921.0,33710.0,7753.0,8877.0,5774.0,2019-07-27,it
208,5832.0,16451.0,19373.0,38385.0,9068.0,9631.0,5522.0,2019-07-28,it
209,5661.0,16259.0,17574.0,35745.0,8745.0,9227.0,5536.0,2019-07-29,it
