,adventure_game,platform_game,shooting_game,action_game,puzzle_video_game,role-playing_video_game,visual_novel,dates,lang
252,53755.0,26441.0,15692.0,29888.0,15325.0,70016.0,42144.0,2019-09-10,ja
253,53591.0,25035.0,16230.0,29310.0,16953.0,70451.0,42558.0,2019-09-11,ja
254,51580.0,26107.0,16056.0,29659.0,15210.0,79191.0,64456.0,2019-09-12,ja
255,53077.0,25571.0,16412.0,30623.0,14699.0,75018.0,51231.0,2019-09-13,ja
256,58195.0,27733.0,18394.0,33009.0,16061.0,82573.0,53628.0,2019-09-14,ja
257,64580.0,29689.0,18032.0,35030.0,16869.0,88891.0,51504.0,2019-09-15,ja
258,67276.0,30990.0,18463.0,34687.0,17901.0,89872.0,59518.0,2019-09-16,ja
259,52952.0,26502.0,15917.0,29407.0,15425.0,75017.0,48364.0,2019-09-17,ja
260,54039.0,23325.0,16214.0,30617.0,15110.0,72519.0,44319.0,2019-09-18,ja
261,54212.0,25019.0,16882.0,29111.0,15482.0,71578.0,42429.0,2019-09-19,ja
262,64431.0,23485.0,16399.0,29086.0,16042.0,67765.0,39036.0,2019-09-20,ja
263,81896.0,28969.0,23272.0,39534.0,16654.0,79803.0,44683.0,2019-09-21,ja
264,82739.0,32028.0,20573.0,40492.0,18668.0,90007.0,48567.0,2019-09-22,ja
265,84642.0,34399.0,19559.0,45602.0,17989.0,90838.0,50906.0,2019-09-23,ja
266,63230.0,25022.0,16419.0,34597.0,20691.0,76786.0,42373.0,2019-09-24,ja
267,60476.0,23931.0,16176.0,31810.0,15169.0,70932.0,42063.0,2019-09-25,ja
268,56242.0,23305.0,17033.0,30972.0,14698.0,80175.0,52734.0,2019-09-26,ja
269,54868.0,23029.0,16789.0,31802.0,13941.0,81870.0,44090.0,2019-09-27,ja
270,68265.0,60987.0,17741.0,103036.0,15055.0,86187.0,51722.0,2019-09-28,ja
271,68149.0,38111.0,17927.0,55747.0,17639.0,97028.0,51752.0,2019-09-29,ja
272,52395.0,27002.0,15583.0,39579.0,14742.0,74715.0,42319.0,2019-09-30,ja
273,50346.0,25064.0,15658.0,36212.0,14555.0,71759.0,40374.0,2019-10-01,ja
274,54262.0,25012.0,16510.0,36059.0,14429.0,74654.0,42147.0,2019-10-02,ja
275,53672.0,25867.0,24781.0,37061.0,13944.0,73436.0,49848.0,2019-10-03,ja
276,113418.0,51029.0,46907.0,92117.0,14061.0,77654.0,46293.0,2019-10-04,ja
277,70563.0,48700.0,29627.0,69368.0,17455.0,82463.0,50329.0,2019-10-05,ja
278,69816.0,43154.0,25911.0,67405.0,16642.0,84975.0,50532.0,2019-10-06,ja
279,54702.0,34620.0,21026.0,49934.0,13891.0,73459.0,41231.0,2019-10-07,ja
280,53173.0,33800.0,19689.0,51484.0,14668.0,72178.0,39479.0,2019-10-08,ja
281,49340.0,29680.0,18134.0,44695.0,12946.0,69010.0,39090.0,2019-10-09,ja
282,47312.0,27284.0,19675.0,40516.0,13050.0,66531.0,38001.0,2019-10-10,ja
283,49590.0,27252.0,19977.0,42037.0,15865.0,69635.0,38193.0,2019-10-11,ja
284,70319.0,38772.0,22771.0,58247.0,16746.0,87684.0,47477.0,2019-10-12,ja
285,63149.0,34183.0,19979.0,53018.0,15015.0,91086.0,45329.0,2019-10-13,ja
286,63739.0,35514.0,20275.0,53234.0,15593.0,85571.0,47227.0,2019-10-14,ja
287,49902.0,26811.0,17119.0,39550.0,13410.0,72133.0,40161.0,2019-10-15,ja
288,47824.0,28086.0,16166.0,46219.0,12912.0,68462.0,39489.0,2019-10-16,ja
289,45512.0,25412.0,17243.0,37319.0,13044.0,66146.0,42842.0,2019-10-17,ja
290,46902.0,26302.0,18005.0,37726.0,13102.0,69775.0,41004.0,2019-10-18,ja
291,60509.0,33221.0,19371.0,48648.0,14660.0,83850.0,50594.0,2019-10-19,ja
292,56043.0,31028.0,17992.0,43552.0,15259.0,81047.0,46920.0,2019-10-20,ja
