,single_player_video_game,co_op_mode,multiplayer_video_game,lang,dates
256,143432.0,12520.0,61800.0,it,2019-09-14
257,151867.0,12543.0,66537.0,it,2019-09-15
258,133659.0,11003.0,57133.0,it,2019-09-16
259,130551.0,10861.0,56349.0,it,2019-09-17
260,131084.0,10083.0,57801.0,it,2019-09-18
261,137529.0,10516.0,60209.0,it,2019-09-19
262,159488.0,10745.0,58848.0,it,2019-09-20
263,141170.0,9917.0,61285.0,it,2019-09-21
264,179867.0,11721.0,85954.0,it,2019-09-22
265,150299.0,10269.0,66815.0,it,2019-09-23
266,155998.0,11242.0,63458.0,it,2019-09-24
267,149854.0,10185.0,67648.0,it,2019-09-25
268,138044.0,10261.0,109525.0,it,2019-09-26
269,139458.0,10026.0,80294.0,it,2019-09-27
270,140409.0,9990.0,69521.0,it,2019-09-28
271,167666.0,10367.0,89327.0,it,2019-09-29
272,138282.0,9453.0,63849.0,it,2019-09-30
273,134596.0,8958.0,59131.0,it,2019-10-01
274,134376.0,9305.0,58554.0,it,2019-10-02
275,143517.0,9627.0,60082.0,it,2019-10-03
276,143971.0,9491.0,61027.0,it,2019-10-04
277,150648.0,10005.0,62715.0,it,2019-10-05
278,169625.0,10723.0,69957.0,it,2019-10-06
279,155310.0,9720.0,60619.0,it,2019-10-07
280,147604.0,9772.0,58905.0,it,2019-10-08
281,151341.0,9836.0,60221.0,it,2019-10-09
282,148474.0,9743.0,60054.0,it,2019-10-10
283,150867.0,9972.0,58309.0,it,2019-10-11
284,158918.0,10679.0,62611.0,it,2019-10-12
285,189653.0,15047.0,75469.0,it,2019-10-13
286,177935.0,20145.0,64389.0,it,2019-10-14
287,159084.0,15350.0,60877.0,it,2019-10-15
288,144517.0,12498.0,58145.0,it,2019-10-16
289,141837.0,11208.0,56925.0,it,2019-10-17
290,137881.0,10239.0,54563.0,it,2019-10-18
291,146437.0,10989.0,60115.0,it,2019-10-19
292,194181.0,38129.0,93633.0,it,2019-10-20
293,165519.0,15214.0,67456.0,it,2019-10-21
294,163802.0,12006.0,62066.0,it,2019-10-22
295,145307.0,10418.0,59464.0,it,2019-10-23
296,137797.0,10035.0,58100.0,it,2019-10-24
297,135336.0,10209.0,58180.0,it,2019-10-25
298,147904.0,10292.0,60597.0,it,2019-10-26
299,164611.0,11044.0,73935.0,it,2019-10-27
300,144620.0,10440.0,63112.0,it,2019-10-28
301,150555.0,11055.0,62821.0,it,2019-10-29
302,137132.0,10137.0,57922.0,it,2019-10-30
303,133785.0,9207.0,57719.0,it,2019-10-31
304,183856.0,12444.0,87812.0,it,2019-11-01
305,178723.0,12790.0,82458.0,it,2019-11-02
306,190808.0,12720.0,94209.0,it,2019-11-03
307,189062.0,10379.0,69149.0,it,2019-11-04
308,142715.0,10179.0,64894.0,it,2019-11-05
309,352746.0,9647.0,60819.0,it,2019-11-06
310,143099.0,9849.0,67744.0,it,2019-11-07
311,149202.0,10141.0,74094.0,it,2019-11-08
312,158740.0,10466.0,78438.0,it,2019-11-09
313,168392.0,10850.0,78436.0,it,2019-11-10
314,169647.0,9919.0,72986.0,it,2019-11-11
315,157364.0,10503.0,73175.0,it,2019-11-12
316,142208.0,9797.0,66717.0,it,2019-11-13
317,153898.0,10044.0,68439.0,it,2019-11-14
318,148873.0,9966.0,69328.0,it,2019-11-15
319,164558.0,10792.0,79028.0,it,2019-11-16
320,183839.0,12224.0,90590.0,it,2019-11-17
321,166885.0,9719.0,76101.0,it,2019-11-18
322,146423.0,9713.0,66902.0,it,2019-11-19
323,164116.0,9577.0,63509.0,it,2019-11-20
324,154233.0,10136.0,69065.0,it,2019-11-21
325,165442.0,9480.0,63020.0,it,2019-11-22
326,149928.0,10105.0,65209.0,it,2019-11-23
327,169768.0,11833.0,77211.0,it,2019-11-24
328,180534.0,10702.0,94690.0,it,2019-11-25
329,150561.0,12521.0,79826.0,it,2019-11-26
330,137550.0,9822.0,64575.0,it,2019-11-27
331,136248.0,10274.0,61637.0,it,2019-11-28
332,146073.0,10533.0,60916.0,it,2019-11-29
333,143221.0,10669.0,63491.0,it,2019-11-30
334,160351.0,11685.0,74224.0,it,2019-12-01
335,155338.0,10328.0,76162.0,it,2019-12-02
336,165844.0,11067.0,69106.0,it,2019-12-03
337,138335.0,10752.0,61455.0,it,2019-12-04
338,134688.0,10517.0,60263.0,it,2019-12-05
339,143532.0,9602.0,57522.0,it,2019-12-06
340,133808.0,9867.0,57142.0,it,2019-12-07
341,140484.0,10858.0,62624.0,it,2019-12-08
342,148975.0,10759.0,64237.0,it,2019-12-09
343,138680.0,10335.0,57849.0,it,2019-12-10
344,132060.0,10263.0,56513.0,it,2019-12-11
345,142590.0,15477.0,57209.0,it,2019-12-12
346,149812.0,11399.0,60597.0,it,2019-12-13
347,138190.0,10633.0,60539.0,it,2019-12-14
348,150789.0,11050.0,65774.0,it,2019-12-15
349,156362.0,9665.0,80361.0,it,2019-12-16
350,142325.0,10477.0,61653.0,it,2019-12-17
351,130044.0,9365.0,55384.0,it,2019-12-18
352,132324.0,9782.0,54907.0,it,2019-12-19
353,160498.0,10493.0,78949.0,it,2019-12-20
354,152384.0,10760.0,63582.0,it,2019-12-21
355,169503.0,11393.0,64669.0,it,2019-12-22
356,169446.0,10886.0,61818.0,it,2019-12-23
357,147616.0,10195.0,62582.0,it,2019-12-24
358,154491.0,10940.0,68111.0,it,2019-12-25
359,179544.0,12343.0,77601.0,it,2019-12-26
360,180095.0,15061.0,83433.0,it,2019-12-27
